ProcurementID,PONumber,DateKey,SupplierKey,ProductKey,PlantKey,OrderedQuantity,ReceivedQuantity,QuantityVariance,UnitCost,PurchaseAmount,FreightCost,TaxAmount,TotalProcurementCost,LeadTimeDays,DeliveryDelayDays,FillRatePct,QualityAcceptancePct,SupplierRating,SupplierPerformanceScore,OrderStatus,PaymentStatus
18,PO-2023-000018,20230101,15,21,7,2086,2009,77,15,30135,825.66,2410.8,33371.46,20,1,96.32,98.25,4.6,96.76,Partial,Pending
19,PO-2023-000019,20230101,16,22,8,4944,4802,142,34,163268,6123.53,13061.44,182452.97,19,0,97.14,97.45,4.8,97.98,Partial,Paid
20,PO-2023-000020,20230102,1,1,1,10014,9760,254,82,800320,34152.43,64025.6,898498.03,18,0,97.47,99.44,4.9,98.89,Partial,Paid
21,PO-2023-000021,20230102,1,2,1,13096,12545,551,108,1354860,54755.9,108388.8,1518004.7,18,3,95.8,98.39,4.9,94.13,Partial,Pending
22,PO-2023-000022,20230102,2,3,1,10892,10671,221,132,1408572,47949.9,112685.76,1569207.66,21,0,97.98,97.01,4.7,98.1,Partial,Paid
23,PO-2023-000023,20230102,3,5,2,5752,5671,81,248,1406408,56891.05,112512.64,1575811.69,20,1,98.6,98.15,4.6,97.52,Partial,Pending
24,PO-2023-000024,20230102,3,6,2,11392,11016,376,215,2368440,68222.92,189475.2,2626138.12,20,0,96.7,96.63,4.6,97.5,Partial,Paid
25,PO-2023-000025,20230102,4,7,2,12585,12506,79,188,2351128,65600.4,188090.24,2604818.64,14,0,99.38,98.0,4.9,98.98,Partial,Paid
26,PO-2023-000026,20230102,4,8,2,9945,9880,65,365,3606200,104411.55,288496.0,3999107.55,14,1,99.35,98.56,4.9,97.95,Partial,Paid
27,PO-2023-000027,20230102,5,9,3,251,243,8,240,58320,1449.05,4665.6,64434.65,16,0,96.87,99.81,4.8,98.83,Partial,Paid
28,PO-2023-000028,20230102,6,11,3,5155,4980,175,148,737040,15171.45,58963.2,811174.65,19,1,96.62,99.72,4.7,97.45,Partial,Pending
29,PO-2023-000029,20230102,6,12,3,7253,6911,342,890,6150790,285029.38,492063.2,6927882.58,19,0,95.29,99.79,4.7,98.27,Partial,Paid
30,PO-2023-000030,20230102,7,13,4,9083,8999,84,1350,12148650,599408.74,971892.0,13719950.74,18,0,99.08,98.13,4.8,98.93,Partial,Paid
31,PO-2023-000031,20230102,8,14,4,151,148,3,1880,278240,13468.34,22259.2,313967.54,22,0,98.3,96.66,4.6,98.07,Partial,Pending
32,PO-2023-000032,20230102,10,16,5,7763,7735,28,620,4795700,204574.76,383656.0,5383930.76,24,4,99.64,98.76,4.8,94.38,Partial,Pending
33,PO-2023-000033,20230102,11,17,5,2763,2762,1,48,132576,5236.27,10606.08,148418.35,15,0,99.98,97.75,4.7,99.09,Partial,Pending
34,PO-2023-000034,20230102,12,18,5,3859,3713,146,4,14852,325.57,1188.16,16365.73,18,0,96.24,96.08,4.8,97.12,Partial,Paid
35,PO-2023-000035,20230102,13,19,6,2583,2482,101,18,44676,988.67,3574.08,49238.75,17,2,96.1,98.52,4.9,95.55,Partial,Paid
36,PO-2023-000036,20230102,14,20,6,2788,2774,14,26,72124,3302.49,5769.92,81196.41,21,0,99.53,96.28,4.5,98.35,Partial,Paid
37,PO-2023-000037,20230102,15,21,7,2402,2362,40,15,35430,936.31,2834.4,39200.71,20,1,98.34,96.53,4.6,96.78,Partial,Pending
38,PO-2023-000038,20230102,16,22,8,3545,3506,39,34,119204,5271.79,9536.32,134012.11,19,0,98.92,96.76,4.8,98.33,Partial,Paid
39,PO-2023-000039,20230103,1,1,1,25574,24846,728,82,2037372,66637.06,162989.76,2266998.82,18,0,97.16,97.87,4.9,98.15,Partial,Paid
40,PO-2023-000040,20230103,1,2,1,25566,25123,443,108,2713284,106863.76,217062.72,3037210.48,18,1,98.27,96.24,4.9,96.64,Partial,Pending
41,PO-2023-000041,20230103,2,3,1,6223,5989,234,132,790548,20322.04,63243.84,874113.88,21,2,96.24,97.79,4.7,95.3,Partial,Pending
42,PO-2023-000042,20230103,2,4,1,4019,3874,145,176,681824,18746.2,54545.92,755116.12,21,1,96.39,99.69,4.7,97.36,Partial,Pending
43,PO-2023-000043,20230103,3,5,2,7031,6982,49,248,1731536,63217.96,138522.88,1933276.84,20,0,99.31,96.2,4.6,98.24,Partial,Paid
44,PO-2023-000044,20230103,3,6,2,6320,6296,24,215,1353640,61537.65,108291.2,1523468.85,20,0,99.63,96.67,4.6,98.54,Partial,Pending
45,PO-2023-000045,20230103,4,7,2,18922,18178,744,188,3417464,109465.5,273397.12,3800326.62,14,0,96.07,96.23,4.9,97.12,Partial,Pending
46,PO-2023-000046,20230103,4,8,2,13813,13802,11,365,5037730,140835.24,403018.4,5581583.64,14,0,99.93,99.14,4.9,99.63,Partial,Pending
47,PO-2023-000047,20230103,5,9,3,9762,9480,282,240,2275200,110846.67,182016.0,2568062.67,16,0,97.12,99.98,4.8,98.98,Partial,Pending
48,PO-2023-000048,20230103,5,10,3,7636,7326,310,510,3736260,99126.81,298900.8,4134287.61,16,3,95.95,96.23,4.8,93.33,Partial,Paid
49,PO-2023-000049,20230103,6,12,3,4100,3906,194,890,3476340,130450.8,278107.2,3884898.0,19,1,95.29,98.01,4.7,96.3,Partial,Paid
50,PO-2023-000050,20230103,7,13,4,3180,3173,7,1350,4283550,95965.84,342684.0,4722199.84,18,0,99.8,96.74,4.8,98.63,Partial,Paid
51,PO-2023-000051,20230103,8,14,4,3721,3610,111,1880,6786800,327448.74,542944.0,7657192.74,22,1,97.02,98.28,4.6,97.02,Partial,Paid
52,PO-2023-000052,20230103,9,15,4,2603,2527,76,2450,6191150,232231.08,495292.0,6918673.08,23,0,97.1,98.09,4.5,98.22,Partial,Pending
53,PO-2023-000053,20230103,10,16,5,8741,8596,145,620,5329520,156823.88,426361.6,5912705.48,24,0,98.35,97.06,4.8,98.25,Partial,Paid
54,PO-2023-000054,20230103,12,18,5,3075,3020,55,4,12080,407.3,966.4,13453.7,18,2,98.23,99.72,4.8,96.77,Partial,Paid
55,PO-2023-000055,20230103,14,20,6,3326,3235,91,26,84110,4201.6,6728.8,95040.4,21,3,97.29,99.98,4.5,95.3,Partial,Paid
56,PO-2023-000056,20230103,15,21,7,5660,5437,223,15,81555,2279.95,6524.4,90359.35,20,2,96.07,99.73,4.6,96.02,Partial,Paid
57,PO-2023-000057,20230103,16,22,8,3172,3072,100,34,104448,2583.25,8355.84,115387.09,19,0,96.85,99.33,4.8,98.63,Partial,Pending
58,PO-2023-000058,20230104,1,1,1,22909,22890,19,82,1876980,82986.91,150158.4,2110125.31,18,0,99.92,98.12,4.9,99.22,Partial,Pending
59,PO-2023-000059,20230104,1,2,1,6119,5844,275,108,631152,29249.99,50492.16,710894.15,18,1,95.52,97.06,4.9,96.0,Partial,Paid
60,PO-2023-000060,20230104,2,3,1,5044,4831,213,132,637692,18144.05,51015.36,706851.41,21,2,95.78,96.84,4.7,94.76,Partial,Pending
61,PO-2023-000061,20230104,2,4,1,5805,5714,91,176,1005664,45845.59,80453.12,1131962.71,21,0,98.44,98.02,4.7,98.66,Partial,Pending
62,PO-2023-000062,20230104,3,5,2,3156,3012,144,248,746976,24431.55,59758.08,831165.63,20,0,95.46,97.11,4.6,97.25,Partial,Paid
63,PO-2023-000063,20230104,3,6,2,28731,28402,329,215,6106430,238843.25,488514.4,6833787.65,20,0,98.86,97.05,4.6,98.42,Partial,Pending
64,PO-2023-000064,20230104,4,7,2,10661,10504,157,188,1974752,72724.6,157980.16,2205456.76,14,0,98.53,96.45,4.9,98.06,Partial,Paid
65,PO-2023-000065,20230104,4,8,2,11499,10944,555,365,3994560,124136.86,319564.8,4438261.66,14,2,95.18,98.21,4.9,95.1,Partial,Pending
66,PO-2023-000066,20230104,5,9,3,8036,7651,385,240,1836240,56812.43,146899.2,2039951.63,16,3,95.21,99.73,4.8,94.47,Partial,Paid
67,PO-2023-000067,20230104,5,10,3,7631,7385,246,510,3766350,152394.06,301308.0,4220052.06,16,0,96.79,98.67,4.8,98.34,Partial,Pending
68,PO-2023-000068,20230104,6,12,3,9386,9331,55,890,8304590,267335.73,664367.2,9236292.93,19,3,99.42,98.48,4.7,95.44,Partial,Paid
69,PO-2023-000069,20230104,7,13,4,4521,4490,31,1350,6061500,298748.19,484920.0,6845168.19,18,1,99.32,99.24,4.8,98.21,Partial,Pending
70,PO-2023-000070,20230104,8,14,4,227,217,10,1880,407960,19473.82,32636.8,460070.62,22,0,95.9,99.13,4.6,98.22,Partial,Pending
71,PO-2023-000071,20230104,9,15,4,1660,1599,61,2450,3917550,170888.37,313404.0,4401842.37,23,1,96.33,96.43,4.5,96.04,Partial,Paid
72,PO-2023-000072,20230104,10,16,5,9883,9498,385,620,5888760,262035.68,471100.8,6621896.48,24,4,96.11,97.84,4.8,92.78,Partial,Pending
73,PO-2023-000073,20230104,11,17,5,6601,6558,43,48,314784,8400.86,25182.72,348367.58,15,0,99.36,98.64,4.7,99.23,Partial,Pending
74,PO-2023-000074,20230104,12,18,5,2428,2340,88,4,9360,206.69,748.8,10315.49,18,4,96.39,99.09,4.8,93.37,Partial,Pending
75,PO-2023-000075,20230104,13,19,6,5309,5178,131,18,93204,3764.09,7456.32,104424.41,17,0,97.55,99.37,4.9,98.89,Partial,Pending
76,PO-2023-000076,20230104,14,20,6,3231,3088,143,26,80288,3943.11,6423.04,90654.15,21,2,95.58,96.71,4.5,94.64,Partial,Pending
77,PO-2023-000077,20230104,15,21,7,3330,3181,149,15,47715,1576.36,3817.2,53108.56,20,1,95.54,98.91,4.6,96.76,Partial,Pending
78,PO-2023-000078,20230104,16,22,8,2385,2338,47,34,79492,2809.46,6359.36,88660.82,19,0,98.03,97.54,4.8,98.33,Partial,Paid
79,PO-2023-000079,20230105,1,1,1,33954,32331,1623,82,2651142,87704.35,212091.36,2950937.71,18,1,95.22,98.08,4.9,96.31,Partial,Paid
80,PO-2023-000080,20230105,2,3,1,18005,17493,512,132,2309076,111912.22,184726.08,2605714.3,21,0,97.16,99.68,4.7,98.88,Partial,Pending
81,PO-2023-000081,20230105,2,4,1,13542,13439,103,176,2365264,98377.55,189221.12,2652862.67,21,0,99.24,97.2,4.7,98.61,Partial,Pending
82,PO-2023-000082,20230105,3,6,2,22606,21937,669,215,4716455,151266.2,377316.4,5245037.6,20,1,97.04,97.18,4.6,96.59,Partial,Paid
83,PO-2023-000083,20230105,4,7,2,8393,8149,244,188,1532012,73859.69,122560.96,1728432.65,14,3,97.1,98.71,4.9,94.72,Partial,Paid
84,PO-2023-000084,20230105,4,8,2,18906,18245,661,365,6659425,242656.9,532754.0,7434835.9,14,0,96.5,96.0,4.9,97.18,Partial,Pending
85,PO-2023-000085,20230105,5,9,3,4356,4231,125,240,1015440,37976.99,81235.2,1134652.19,16,0,97.15,98.62,4.8,98.45,Partial,Pending
86,PO-2023-000086,20230105,6,11,3,8475,8238,237,148,1219224,32200.98,97537.92,1348962.9,19,0,97.21,97.89,4.7,98.18,Partial,Paid
87,PO-2023-000087,20230105,6,12,3,5720,5515,205,890,4908350,195919.81,392668.0,5496937.81,19,2,96.42,98.48,4.7,95.64,Partial,Paid
88,PO-2023-000088,20230105,8,14,4,7226,7208,18,1880,13551040,366502.21,1084083.2,15001625.41,22,1,99.76,97.24,4.6,97.56,Partial,Paid
89,PO-2023-000089,20230105,9,15,4,3985,3790,195,2450,9285500,253914.56,742840.0,10282254.56,23,0,95.12,97.9,4.5,97.45,Partial,Paid
90,PO-2023-000090,20230105,10,16,5,5947,5772,175,620,3578640,139183.91,286291.2,4004115.11,24,2,97.07,96.78,4.8,95.19,Partial,Pending
91,PO-2023-000091,20230105,11,17,5,430,417,13,48,20016,488.93,1601.28,22106.21,15,1,97.0,98.75,4.7,97.2,Partial,Paid
92,PO-2023-000092,20230105,12,18,5,9566,9192,374,4,36768,1622.33,2941.44,41331.77,18,2,96.09,98.78,4.8,95.65,Partial,Pending
93,PO-2023-000093,20230105,13,19,6,4625,4522,103,18,81396,3868.27,6511.68,91775.95,17,0,97.79,96.49,4.9,97.82,Partial,Paid
94,PO-2023-000094,20230105,14,20,6,4245,4174,71,26,108524,5386.78,8681.92,122592.7,21,0,98.34,98.38,4.5,98.77,Partial,Pending
95,PO-2023-000095,20230105,15,21,7,4485,4356,129,15,65340,3084.42,5227.2,73651.62,20,0,97.13,97.78,4.6,98.11,Partial,Paid
96,PO-2023-000096,20230105,16,22,8,3091,3069,22,34,104346,3495.81,8347.68,116189.49,19,0,99.31,99.01,4.8,99.36,Partial,Pending
97,PO-2023-000097,20230106,1,1,1,19746,19237,509,82,1577434,42870.52,126194.72,1746499.24,18,1,97.42,97.76,4.9,96.95,Partial,Pending
98,PO-2023-000098,20230106,1,2,1,4568,4401,167,108,475308,14064.98,38024.64,527397.62,18,1,96.36,98.16,4.9,96.74,Partial,Paid
99,PO-2023-000099,20230106,2,3,1,16551,15914,637,132,2100648,85745.29,168051.84,2354445.13,21,1,96.16,98.83,4.7,96.93,Partial,Paid
100,PO-2023-000100,20230106,2,4,1,16491,16002,489,176,2816352,102172.56,225308.16,3143832.72,21,0,97.04,97.66,4.7,98.03,Partial,Paid
101,PO-2023-000101,20230106,3,5,2,9431,9143,288,248,2267464,97713.81,181397.12,2546574.93,20,0,96.95,99.78,4.6,98.85,Partial,Paid
102,PO-2023-000102,20230106,3,6,2,14584,14202,382,215,3053430,147426.47,244274.4,3445130.87,20,0,97.38,97.19,4.6,97.96,Partial,Pending
103,PO-2023-000103,20230106,4,7,2,16655,16270,385,188,3058760,128587.28,244700.8,3432048.08,14,0,97.69,99.2,4.9,98.87,Partial,Paid
104,PO-2023-000104,20230106,4,8,2,16465,15822,643,365,5775030,191009.58,462002.4,6428041.98,14,0,96.1,96.12,4.9,97.08,Partial,Pending
105,PO-2023-000105,20230106,5,9,3,11563,11377,186,240,2730480,87728.96,218438.4,3036647.36,16,0,98.4,96.66,4.8,98.1,Partial,Pending
106,PO-2023-000106,20230106,5,10,3,3658,3654,4,510,1863540,67131.62,149083.2,2079754.82,16,1,99.9,99.63,4.8,98.57,Partial,Paid
107,PO-2023-000107,20230106,6,11,3,6809,6687,122,148,989676,23822.48,79174.08,1092672.56,19,4,98.21,97.85,4.7,93.51,Partial,Paid
108,PO-2023-000108,20230106,7,13,4,1628,1577,51,1350,2128950,56097.42,170316.0,2355363.42,18,1,96.9,97.31,4.8,96.59,Partial,Pending
109,PO-2023-000109,20230106,9,15,4,4937,4875,62,2450,11943750,536963.87,955500.0,13436213.87,23,1,98.76,97.01,4.5,97.12,Partial,Paid
110,PO-2023-000110,20230106,10,16,5,10258,9755,503,620,6048100,218835.81,483848.0,6750783.81,24,0,95.1,100.0,4.8,98.28,Partial,Pending
111,PO-2023-000111,20230106,12,18,5,4394,4317,77,4,17268,750.07,1381.44,19399.51,18,0,98.25,98.61,4.8,98.83,Partial,Paid
112,PO-2023-000112,20230106,13,19,6,3960,3801,159,18,68418,1410.19,5473.44,75301.63,17,0,96.0,96.61,4.9,97.24,Partial,Paid
113,PO-2023-000113,20230106,14,20,6,4621,4544,77,26,118144,4361.77,9451.52,131957.29,21,1,98.35,96.87,4.5,96.92,Partial,Pending
114,PO-2023-000114,20230106,15,21,7,6655,6444,211,15,96660,3690.17,7732.8,108082.97,20,5,96.84,99.85,4.6,92.59,Partial,Paid
115,PO-2023-000115,20230106,16,22,8,3330,3299,31,34,112166,5489.59,8973.28,126628.87,19,0,99.1,96.43,4.8,98.26,Partial,Paid
116,PO-2023-000116,20230107,1,1,1,16771,16415,356,82,1346030,63587.51,107682.4,1517299.91,18,1,97.88,97.5,4.9,97.01,Partial,Paid
117,PO-2023-000117,20230107,2,3,1,12999,12733,266,132,1680756,75494.77,134460.48,1890711.25,21,0,97.96,96.97,4.7,98.07,Partial,Pending
118,PO-2023-000118,20230107,2,4,1,20627,20426,201,176,3594976,157772.05,287598.08,4040346.13,21,0,99.03,98.26,4.7,98.97,Partial,Paid
119,PO-2023-000119,20230107,3,5,2,14192,13860,332,248,3437280,136960.62,274982.4,3849223.02,20,3,97.66,96.28,4.6,93.94,Partial,Pending
120,PO-2023-000120,20230107,3,6,2,8427,8363,64,215,1798045,80318.54,143843.6,2022207.14,20,2,99.25,96.42,4.6,95.81,Partial,Pending
121,PO-2023-000121,20230107,4,7,2,4357,4293,64,188,807084,26685.92,64566.72,898336.64,14,2,98.54,98.94,4.9,96.56,Partial,Pending
122,PO-2023-000122,20230107,4,8,2,23831,23602,229,365,8614730,311381.03,689178.4,9615289.43,14,0,99.04,97.93,4.9,98.84,Partial,Pending
123,PO-2023-000123,20230107,5,10,3,14908,14707,201,510,7500570,210404.99,600045.6,8311020.59,16,3,98.66,99.41,4.8,95.54,Partial,Paid
124,PO-2023-000124,20230107,6,11,3,6856,6815,41,148,1008620,27551.37,80689.6,1116860.97,19,0,99.41,97.86,4.7,98.94,Partial,Pending
125,PO-2023-000125,20230107,6,12,3,8519,8105,414,890,7213450,328418.17,577076.0,8118944.17,19,2,95.14,96.73,4.7,94.49,Partial,Paid
126,PO-2023-000126,20230107,7,13,4,7158,7085,73,1350,9564750,288952.68,765180.0,10618882.68,18,5,98.99,99.52,4.8,93.2,Partial,Pending
127,PO-2023-000127,20230107,8,14,4,4391,4284,107,1880,8053920,207240.99,644313.6,8905474.59,22,0,97.58,96.97,4.6,97.94,Partial,Pending
128,PO-2023-000128,20230107,10,16,5,11108,10860,248,620,6733200,183208.47,538656.0,7455064.47,24,0,97.78,97.9,4.8,98.38,Partial,Pending
129,PO-2023-000129,20230107,11,17,5,4103,4060,43,48,194880,4441.63,15590.4,214912.03,15,1,98.96,96.89,4.7,97.14,Partial,Paid
130,PO-2023-000130,20230107,12,18,5,3786,3722,64,4,14888,462.58,1191.04,16541.62,18,0,98.32,98.21,4.8,98.7,Partial,Pending
131,PO-2023-000131,20230107,13,19,6,208,207,1,18,3726,136.04,298.08,4160.12,17,0,99.98,97.41,4.9,98.96,Partial,Pending
132,PO-2023-000132,20230107,14,20,6,5153,4974,179,26,129324,3480.9,10345.92,143150.82,21,1,96.53,98.89,4.5,97.09,Partial,Pending
133,PO-2023-000133,20230107,15,21,7,4439,4381,58,15,65715,3188.91,5257.2,74161.11,20,0,98.71,98.76,4.6,99.05,Partial,Paid
134,PO-2023-000134,20230107,16,22,8,130,128,2,34,4352,123.14,348.16,4823.3,19,1,98.69,98.36,4.8,97.64,Partial,Pending
135,PO-2023-000135,20230108,1,1,1,523,518,5,82,42476,1227.02,3398.08,47101.1,18,0,99.16,97.44,4.9,98.68,Partial,Pending
136,PO-2023-000136,20230108,1,2,1,11419,11252,167,108,1215216,28919.09,97217.28,1341352.37,18,4,98.54,96.18,4.9,92.96,Partial,Paid
137,PO-2023-000137,20230108,2,3,1,6853,6749,104,132,890868,21192.31,71269.44,983329.75,21,0,98.49,99.47,4.7,99.26,Partial,Pending
138,PO-2023-000138,20230108,2,4,1,14096,14006,90,176,2465056,91754.13,197204.48,2754014.61,21,0,99.36,97.88,4.7,98.93,Partial,Pending
139,PO-2023-000139,20230108,3,5,2,7213,6918,295,248,1715664,36957.64,137253.12,1889874.76,20,2,95.92,99.76,4.6,95.98,Partial,Pending
140,PO-2023-000140,20230108,3,6,2,16989,16837,152,215,3619955,115915.39,289596.4,4025466.79,20,0,99.11,96.3,4.6,98.21,Partial,Paid
141,PO-2023-000141,20230108,4,7,2,3701,3543,158,188,666084,24568.63,53286.72,743939.35,14,1,95.75,97.22,4.9,96.15,Partial,Paid
142,PO-2023-000142,20230108,4,8,2,13204,12912,292,365,4712880,153098.95,377030.4,5243009.35,14,3,97.79,98.38,4.9,94.83,Partial,Paid
143,PO-2023-000143,20230108,5,9,3,4880,4728,152,240,1134720,53621.34,90777.6,1279118.94,16,0,96.9,97.19,4.8,97.79,Partial,Pending
144,PO-2023-000144,20230108,6,11,3,15813,15471,342,148,2289708,49931.45,183176.64,2522816.09,19,1,97.84,99.84,4.7,97.93,Partial,Paid
145,PO-2023-000145,20230108,6,12,3,6562,6302,260,890,5608780,147683.42,448702.4,6205165.82,19,1,96.04,98.64,4.7,96.82,Partial,Paid
146,PO-2023-000146,20230108,7,13,4,181,173,8,1350,233550,5196.94,18684.0,257430.94,18,2,95.87,96.01,4.8,94.46,Partial,Pending
147,PO-2023-000147,20230108,8,14,4,10250,9978,272,1880,18758640,393541.18,1500691.2,20652872.38,22,0,97.35,97.15,4.6,97.93,Partial,Pending
148,PO-2023-000148,20230108,9,15,4,2081,1984,97,2450,4860800,131254.79,388864.0,5380918.79,23,0,95.36,97.06,4.5,97.2,Partial,Paid
149,PO-2023-000149,20230108,10,16,5,15639,14946,693,620,9266520,247826.44,741321.6,10255668.04,24,2,95.57,96.6,4.8,94.59,Partial,Pending
150,PO-2023-000150,20230108,13,19,6,7201,6892,309,18,124056,2703.07,9924.48,136683.55,17,1,95.71,99.17,4.9,96.92,Partial,Pending
151,PO-2023-000151,20230108,14,20,6,4102,3922,180,26,101972,4146.22,8157.76,114275.98,21,1,95.62,98.8,4.5,96.74,Partial,Pending
152,PO-2023-000152,20230108,15,21,7,5903,5767,136,15,86505,2866.15,6920.4,96291.55,20,1,97.7,98.39,4.6,97.3,Partial,Pending
153,PO-2023-000153,20230108,16,22,8,3530,3460,70,34,117640,2444.08,9411.2,129495.28,19,0,98.02,96.92,4.8,98.07,Partial,Paid
154,PO-2023-000154,20230109,1,1,1,28593,28124,469,82,2306168,64769.49,184493.44,2555430.93,18,1,98.36,96.16,4.9,96.64,Partial,Paid
155,PO-2023-000155,20230109,1,2,1,5517,5384,133,108,581472,19343.76,46517.76,647333.52,18,1,97.59,97.11,4.9,96.75,Partial,Pending
156,PO-2023-000156,20230109,2,3,1,25898,25657,241,132,3386724,166192.16,270937.92,3823854.08,21,0,99.07,97.88,4.7,98.83,Partial,Pending
157,PO-2023-000157,20230109,3,5,2,5295,5115,180,248,1268520,29351.01,101481.6,1399352.61,20,4,96.61,96.64,4.6,92.47,Partial,Pending
158,PO-2023-000158,20230109,4,7,2,34283,33062,1221,188,6215656,300563.06,497252.48,7013471.54,14,1,96.44,99.25,4.9,97.21,Partial,Paid
159,PO-2023-000159,20230109,4,8,2,810,773,37,365,282145,7779.29,22571.6,312495.89,14,0,95.44,96.46,4.9,96.99,Partial,Pending
160,PO-2023-000160,20230109,5,9,3,10545,10452,93,240,2508480,50256.22,200678.4,2759414.62,16,2,99.12,99.48,4.8,96.98,Partial,Pending
161,PO-2023-000161,20230109,5,10,3,347,330,17,510,168300,5983.6,13464.0,187747.6,16,0,95.27,98.49,4.8,97.74,Partial,Pending
162,PO-2023-000162,20230109,6,11,3,362,357,5,148,52836,1379.38,4226.88,58442.26,19,2,98.8,98.2,4.7,96.36,Partial,Pending
163,PO-2023-000163,20230109,6,12,3,9523,9466,57,890,8424740,291001.93,673979.2,9389721.13,19,3,99.4,96.12,4.7,94.49,Partial,Paid
164,PO-2023-000164,20230109,7,13,4,5907,5703,204,1350,7699050,157139.41,615924.0,8472113.41,18,0,96.55,97.63,4.8,97.85,Partial,Paid
165,PO-2023-000165,20230109,9,15,4,3658,3559,99,2450,8719550,205118.56,697564.0,9622232.56,23,2,97.31,99.33,4.5,96.29,Partial,Pending
166,PO-2023-000166,20230109,10,16,5,12598,12151,447,620,7533620,310101.49,602689.6,8446411.09,24,1,96.46,97.66,4.8,96.58,Partial,Pending
167,PO-2023-000167,20230109,12,18,5,2969,2856,113,4,11424,417.41,913.92,12755.33,18,2,96.22,97.53,4.8,95.19,Partial,Paid
168,PO-2023-000168,20230109,14,20,6,5163,4976,187,26,129376,5653.76,10350.08,145379.84,21,4,96.38,97.66,4.5,92.8,Partial,Pending
169,PO-2023-000169,20230109,15,21,7,2390,2304,86,15,34560,1000.74,2764.8,38325.54,20,0,96.41,98.35,4.6,98.08,Partial,Pending
170,PO-2023-000170,20230109,16,22,8,3272,3181,91,34,108154,3734.58,8652.32,120540.9,19,0,97.23,97.33,4.8,97.96,Partial,Pending
171,PO-2023-000171,20230110,1,2,1,31816,31709,107,108,3424572,157831.85,273965.76,3856369.61,18,0,99.66,99.92,4.9,99.85,Partial,Paid
172,PO-2023-000172,20230110,2,4,1,14778,14211,567,176,2501136,108214.99,200090.88,2809441.87,21,0,96.17,96.17,4.7,97.13,Partial,Pending
173,PO-2023-000173,20230110,3,5,2,15222,14754,468,248,3658992,146032.8,292719.36,4097744.16,20,0,96.93,99.28,4.6,98.64,Partial,Paid
174,PO-2023-000174,20230110,3,6,2,11105,11085,20,215,2383275,56691.89,190662.0,2630628.89,20,1,99.82,99.86,4.6,98.63,Partial,Pending
