InventoryID,DateKey,ProductKey,WarehouseKey,SupplierKey,OpeningStock,StockReceived,StockIssued,ClosingStock,ReorderLevel,SafetyStock,InventoryValue,InventoryStatus,DailyDemand,InventoryTurnover,DaysOfInventory,WarehouseUtilizationPct,CarryingCost,StockAgeDays,ExpiredInventory
101,20230106,5,2,3,1353,348,317,1384,2995,2219,343232,Critical,317,0.23,4.37,0.92,5148.48,79,8
102,20230106,6,2,3,2468,538,442,2564,4176,3094,551260,Critical,442,0.18,5.8,1.71,8268.9,44,0
103,20230106,7,2,4,800,542,518,824,4895,3626,154912,Critical,518,0.64,1.59,0.55,2323.68,10,0
104,20230106,8,2,4,2741,602,448,2895,4233,3136,1056675,Critical,448,0.16,6.46,1.93,15850.12,36,0
105,20230106,9,3,5,1040,403,322,1121,3042,2254,269040,Critical,322,0.3,3.48,0.93,4035.6,76,6
106,20230106,10,3,5,1012,199,166,1045,1568,1162,532950,Critical,166,0.16,6.3,0.87,7994.25,35,0
107,20230106,11,3,6,548,363,324,587,3061,2268,86876,Critical,324,0.57,1.81,0.49,1303.14,27,0
108,20230106,13,4,7,520,82,58,544,548,406,734400,Reorder,58,0.11,9.38,0.6,11016.0,47,0
109,20230106,15,4,9,300,252,201,351,1899,1407,859950,Critical,201,0.62,1.75,0.39,12899.25,90,1
110,20230106,16,4,10,1071,360,339,1092,3203,2373,677040,Critical,339,0.31,3.22,1.21,10155.6,18,0
111,20230106,18,5,12,480,239,184,535,1738,1288,2140,Critical,184,0.36,2.91,0.76,32.1,65,0
112,20230106,19,5,13,737,163,156,744,1474,1092,13392,Critical,156,0.21,4.77,1.06,200.88,63,0
113,20230106,20,6,14,508,152,142,518,1341,994,13468,Critical,142,0.28,3.65,1.04,202.02,34,0
114,20230106,21,6,15,539,201,186,554,1757,1302,8310,Critical,186,0.34,2.98,1.11,124.65,56,0
115,20230106,22,6,16,726,97,92,731,869,644,24854,Reorder,92,0.13,7.95,1.46,372.81,40,0
116,20230107,1,1,1,2796,707,617,2886,5830,4319,236652,Critical,617,0.22,4.68,1.6,3549.78,73,0
117,20230107,3,1,2,955,801,622,1134,5877,4354,149688,Critical,622,0.6,1.82,0.63,2245.32,38,0
118,20230107,4,1,2,906,574,571,909,5395,3997,159984,Critical,571,0.63,1.59,0.51,2399.76,38,0
119,20230107,5,2,3,1384,479,450,1413,4252,3150,350424,Critical,450,0.32,3.14,0.94,5256.36,49,0
120,20230107,6,2,3,2564,555,435,2684,4110,3045,577060,Critical,435,0.17,6.17,1.79,8655.9,82,16
121,20230107,7,2,4,824,132,131,825,1237,917,155100,Critical,131,0.16,6.3,0.55,2326.5,29,0
122,20230107,8,2,4,2895,783,727,2951,6870,5089,1077115,Critical,727,0.25,4.06,1.97,16156.72,5,0
123,20230107,10,3,5,1045,474,431,1088,4072,3017,554880,Critical,431,0.4,2.52,0.91,8323.2,90,3
124,20230107,11,3,6,587,310,242,655,2286,1694,96940,Critical,242,0.39,2.71,0.55,1454.1,90,2
125,20230107,12,3,6,1461,352,305,1508,2882,2135,1342120,Critical,305,0.21,4.94,1.26,20131.8,20,0
126,20230107,13,4,7,544,287,225,606,2126,1575,818100,Critical,225,0.39,2.69,0.67,12271.5,44,0
127,20230107,14,4,8,1287,287,228,1346,2154,1596,2530480,Critical,228,0.17,5.9,1.5,37957.2,42,0
128,20230107,16,4,10,1092,482,376,1198,3553,2632,742760,Critical,376,0.33,3.19,1.33,11141.4,90,6
129,20230107,17,5,11,1001,133,120,1014,1134,840,48672,Reorder,120,0.12,8.45,1.45,730.08,83,9
130,20230107,18,5,12,535,151,134,552,1266,938,2208,Critical,134,0.25,4.12,0.79,33.12,5,0
131,20230107,19,5,13,744,64,53,755,500,371,13590,Healthy,53,0.07,14.25,1.08,203.85,79,5
132,20230107,20,6,14,518,254,214,558,2022,1498,14508,Critical,214,0.4,2.61,1.12,217.62,32,0
133,20230107,21,6,15,554,230,209,575,1975,1463,8625,Critical,209,0.37,2.75,1.15,129.38,26,0
134,20230107,22,6,16,731,51,40,742,378,280,25228,Healthy,40,0.05,18.55,1.48,378.42,89,5
135,20230108,1,1,1,2886,222,223,2885,2107,1561,236570,Healthy,223,0.08,12.94,1.6,3548.55,35,0
136,20230108,2,1,1,1402,765,592,1575,5594,4144,170100,Critical,592,0.4,2.66,0.88,2551.5,30,0
137,20230108,3,1,2,1134,293,236,1191,2230,1652,157212,Critical,236,0.2,5.05,0.66,2358.18,65,0
138,20230108,4,1,2,909,740,657,992,6208,4599,174592,Critical,657,0.69,1.51,0.55,2618.88,63,0
139,20230108,5,2,3,1413,264,234,1443,2211,1638,357864,Critical,234,0.16,6.17,0.96,5367.96,29,0
140,20230108,6,2,3,2684,1001,800,2885,7560,5600,620275,Critical,800,0.29,3.61,1.92,9304.12,56,0
141,20230108,7,2,4,825,177,163,839,1540,1141,157732,Critical,163,0.2,5.15,0.56,2365.98,5,0
142,20230108,8,2,4,2951,687,596,3042,5632,4172,1110330,Critical,596,0.2,5.1,2.03,16654.95,18,0
143,20230108,9,3,5,1121,191,145,1167,1370,1015,280080,Reorder,145,0.13,8.05,0.97,4201.2,71,0
144,20230108,11,3,6,655,660,572,743,5405,4004,109964,Critical,572,0.82,1.3,0.62,1649.46,20,0
145,20230108,12,3,6,1508,198,182,1524,1719,1274,1356360,Reorder,182,0.12,8.37,1.27,20345.4,90,10
146,20230108,13,4,7,606,73,64,615,604,448,830250,Healthy,64,0.1,9.61,0.68,12453.75,83,6
147,20230108,14,4,8,1346,347,285,1408,2693,1995,2647040,Critical,285,0.21,4.94,1.56,39705.6,75,0
148,20230108,15,4,9,351,78,61,368,576,427,901600,Critical,61,0.17,6.03,0.41,13524.0,65,0
149,20230108,16,4,10,1198,505,459,1244,4337,3213,771280,Critical,459,0.38,2.71,1.38,11569.2,86,4
150,20230108,19,5,13,755,247,202,800,1908,1414,14400,Critical,202,0.26,3.96,1.14,216.0,85,3
151,20230108,20,6,14,558,154,122,590,1152,854,15340,Critical,122,0.21,4.84,1.18,230.1,41,0
152,20230108,21,6,15,575,239,204,610,1927,1428,9150,Critical,204,0.34,2.99,1.22,137.25,74,0
153,20230108,22,6,16,742,139,117,764,1105,819,25976,Critical,117,0.16,6.53,1.53,389.64,54,0
154,20230109,1,1,1,2885,983,850,3018,8032,5950,247476,Critical,850,0.29,3.55,1.68,3712.14,13,0
155,20230109,2,1,1,1575,229,190,1614,1795,1330,174312,Reorder,190,0.12,8.49,0.9,2614.68,64,0
156,20230109,3,1,2,1191,1023,820,1394,7749,5740,184008,Critical,820,0.63,1.7,0.77,2760.12,58,0
157,20230109,5,2,3,1443,226,208,1461,1965,1456,362328,Reorder,208,0.14,7.02,0.97,5434.92,7,0
158,20230109,7,2,4,839,1118,955,1002,9024,6685,188376,Critical,955,1.04,1.05,0.67,2825.64,53,0
159,20230109,8,2,4,3042,195,183,3054,1729,1281,1114710,Healthy,183,0.06,16.69,2.04,16720.65,43,0
160,20230109,9,3,5,1167,378,335,1210,3165,2345,290400,Critical,335,0.28,3.61,1.01,4356.0,58,0
161,20230109,10,3,5,1088,81,72,1097,680,504,559470,Healthy,72,0.07,15.24,0.91,8392.05,82,3
162,20230109,11,3,6,743,89,72,760,680,504,112480,Healthy,72,0.1,10.56,0.63,1687.2,67,0
163,20230109,12,3,6,1524,355,314,1565,2967,2198,1392850,Critical,314,0.2,4.98,1.3,20892.75,56,0
164,20230109,13,4,7,615,275,244,646,2305,1708,872100,Critical,244,0.39,2.65,0.72,13081.5,21,0
165,20230109,15,4,9,368,213,169,412,1597,1183,1009400,Critical,169,0.43,2.44,0.46,15141.0,55,0
166,20230109,16,4,10,1244,409,356,1297,3364,2492,804140,Critical,356,0.28,3.64,1.44,12062.1,15,0
167,20230109,18,5,12,552,140,106,586,1001,742,2344,Critical,106,0.19,5.53,0.84,35.16,64,0
168,20230109,20,6,14,590,288,243,635,2296,1701,16510,Critical,243,0.4,2.61,1.27,247.65,46,0
169,20230109,21,6,15,610,147,126,631,1190,882,9465,Critical,126,0.2,5.01,1.26,141.97,53,0
170,20230109,22,6,16,764,144,141,767,1332,987,26078,Critical,141,0.18,5.44,1.53,391.17,58,0
171,20230110,2,1,1,1614,1120,894,1840,8448,6258,198720,Critical,894,0.52,2.06,1.02,2980.8,7,0
172,20230110,4,1,2,992,616,450,1158,4252,3150,203808,Critical,450,0.42,2.57,0.64,3057.12,49,0
173,20230110,5,2,3,1461,594,475,1580,4488,3325,391840,Critical,475,0.31,3.33,1.05,5877.6,88,1
174,20230110,6,2,3,2885,413,373,2925,3524,2611,628875,Reorder,373,0.13,7.84,1.95,9433.12,30,0
175,20230110,7,2,4,1002,224,186,1040,1757,1302,195520,Critical,186,0.18,5.59,0.69,2932.8,35,0
176,20230110,8,2,4,3054,555,522,3087,4932,3654,1126755,Critical,522,0.17,5.91,2.06,16901.33,77,30
177,20230110,9,3,5,1210,266,248,1228,2343,1736,294720,Critical,248,0.2,4.95,1.02,4420.8,52,0
178,20230110,10,3,5,1097,304,280,1121,2646,1960,571710,Critical,280,0.25,4.0,0.93,8575.65,19,0
179,20230110,12,3,6,1565,556,417,1704,3940,2919,1516560,Critical,417,0.26,4.09,1.42,22748.4,44,0
180,20230110,13,4,7,646,136,110,672,1039,770,907200,Critical,110,0.17,6.11,0.75,13608.0,44,0
181,20230110,14,4,8,1408,328,302,1434,2853,2114,2695920,Critical,302,0.21,4.75,1.59,40438.8,53,0
182,20230110,15,4,9,412,65,59,418,557,413,1024100,Reorder,59,0.14,7.08,0.46,15361.5,14,0
183,20230110,16,4,10,1297,130,118,1309,1115,826,811580,Healthy,118,0.09,11.09,1.45,12173.7,36,0
184,20230110,18,5,12,586,357,345,598,3260,2415,2392,Critical,345,0.58,1.73,0.85,35.88,81,0
185,20230110,19,5,13,800,212,175,837,1653,1225,15066,Critical,175,0.21,4.78,1.2,225.99,10,0
186,20230110,20,6,14,635,99,85,649,803,595,16874,Reorder,85,0.13,7.64,1.3,253.11,52,0
187,20230110,21,6,15,631,153,145,639,1370,1015,9585,Critical,145,0.23,4.41,1.28,143.78,6,0
188,20230110,22,6,16,767,158,137,788,1294,959,26792,Critical,137,0.18,5.75,1.58,401.88,18,0
189,20230111,1,1,1,3018,1251,1040,3229,9828,7280,264778,Critical,1040,0.33,3.1,1.79,3971.67,63,0
190,20230111,2,1,1,1840,247,200,1887,1890,1400,203796,Reorder,200,0.11,9.44,1.05,3056.94,71,0
191,20230111,4,1,2,1158,802,600,1360,5670,4200,239360,Critical,600,0.48,2.27,0.76,3590.4,73,0
192,20230111,5,2,3,1580,271,219,1632,2069,1533,404736,Reorder,219,0.14,7.45,1.09,6071.04,80,8
193,20230111,6,2,3,2925,368,302,2991,2853,2114,643065,Healthy,302,0.1,9.9,1.99,9645.98,16,0
194,20230111,7,2,4,1040,189,164,1065,1549,1148,200220,Critical,164,0.16,6.49,0.71,3003.3,64,0
195,20230111,8,2,4,3087,975,852,3210,8051,5964,1171650,Critical,852,0.27,3.77,2.14,17574.75,48,0
196,20230111,9,3,5,1228,92,92,1228,869,644,294720,Healthy,92,0.07,13.35,1.02,4420.8,28,0
197,20230111,10,3,5,1121,236,194,1163,1833,1358,593130,Critical,194,0.17,5.99,0.97,8896.95,38,0
198,20230111,11,3,6,760,127,121,766,1143,847,113368,Critical,121,0.16,6.33,0.64,1700.52,40,0
199,20230111,12,3,6,1704,146,123,1727,1162,861,1537030,Healthy,123,0.07,14.04,1.44,23055.45,29,0
200,20230111,13,4,7,672,264,253,683,2390,1771,922050,Critical,253,0.37,2.7,0.76,13830.75,67,0
201,20230111,14,4,8,1434,245,193,1486,1823,1351,2793680,Reorder,193,0.13,7.7,1.65,41905.2,65,0
202,20230111,15,4,9,418,150,124,444,1171,868,1087800,Critical,124,0.29,3.58,0.49,16317.0,7,0
203,20230111,16,4,10,1309,350,297,1362,2806,2079,844440,Critical,297,0.22,4.59,1.51,12666.6,36,0
204,20230111,17,5,11,1014,118,105,1027,992,735,49296,Healthy,105,0.1,9.78,1.47,739.44,65,0
205,20230111,18,5,12,598,269,218,649,2060,1526,2596,Critical,218,0.35,2.98,0.93,38.94,75,0
206,20230111,19,5,13,837,62,56,843,529,392,15174,Healthy,56,0.07,15.05,1.2,227.61,39,0
207,20230111,20,6,14,649,151,124,676,1171,868,17576,Critical,124,0.19,5.45,1.35,263.64,29,0
208,20230111,21,6,15,639,97,89,647,841,623,9705,Reorder,89,0.14,7.27,1.29,145.57,28,0
209,20230111,22,6,16,788,142,134,796,1266,938,27064,Critical,134,0.17,5.94,1.59,405.96,40,0
210,20230112,2,1,1,1887,361,329,1919,3109,2303,207252,Critical,329,0.17,5.83,1.07,3108.78,72,0
211,20230112,3,1,2,1394,1276,1189,1481,11236,8323,195492,Critical,1189,0.83,1.25,0.82,2932.38,29,0
212,20230112,4,1,2,1360,265,225,1400,2126,1575,246400,Critical,225,0.16,6.22,0.78,3696.0,43,0
213,20230112,5,2,3,1632,547,508,1671,4800,3556,414408,Critical,508,0.31,3.29,1.11,6216.12,40,0
214,20230112,6,2,3,2991,410,337,3064,3184,2359,658760,Reorder,337,0.11,9.09,2.04,9881.4,42,0
215,20230112,7,2,4,1065,380,286,1159,2702,2002,217892,Critical,286,0.26,4.05,0.77,3268.38,67,0
216,20230112,8,2,4,3210,336,270,3276,2551,1890,1195740,Healthy,270,0.08,12.13,2.18,17936.1,41,0
217,20230112,9,3,5,1228,351,295,1284,2787,2065,308160,Critical,295,0.23,4.35,1.07,4622.4,28,0
218,20230112,10,3,5,1163,235,175,1223,1653,1225,623730,Critical,175,0.15,6.99,1.02,9355.95,66,0
219,20230112,11,3,6,766,108,88,786,831,616,116328,Reorder,88,0.11,8.93,0.66,1744.92,67,0
220,20230112,13,4,7,683,61,57,687,538,399,927450,Healthy,57,0.08,12.05,0.76,13911.75,11,0
221,20230112,14,4,8,1486,100,96,1490,907,672,2801200,Healthy,96,0.06,15.52,1.66,42018.0,43,0
222,20230112,15,4,9,444,251,215,480,2031,1505,1176000,Critical,215,0.47,2.23,0.53,17640.0,76,3
223,20230112,16,4,10,1362,128,114,1376,1077,798,853120,Healthy,114,0.08,12.07,1.53,12796.8,33,0
224,20230112,17,5,11,1027,139,110,1056,1039,770,50688,Healthy,110,0.11,9.6,1.51,760.32,61,0
225,20230112,18,5,12,649,268,240,677,2268,1680,2708,Critical,240,0.36,2.82,0.97,40.62,59,0
226,20230112,19,5,13,843,64,58,849,548,406,15282,Healthy,58,0.07,14.64,1.21,229.23,83,1
227,20230112,20,6,14,676,223,165,734,1559,1155,19084,Critical,165,0.23,4.45,1.47,286.26,32,0
228,20230112,21,6,15,647,215,171,691,1615,1197,10365,Critical,171,0.26,4.04,1.38,155.47,35,0
229,20230112,22,6,16,796,142,114,824,1077,798,28016,Reorder,114,0.14,7.23,1.65,420.24,5,0
230,20230113,1,1,1,3229,201,181,3249,1710,1267,266418,Healthy,181,0.06,17.95,1.8,3996.27,65,0
231,20230113,2,1,1,1919,388,320,1987,3024,2240,214596,Critical,320,0.16,6.21,1.1,3218.94,41,0
232,20230113,3,1,2,1481,545,443,1583,4186,3101,208956,Critical,443,0.29,3.57,0.88,3134.34,34,0
233,20230113,4,1,2,1400,674,573,1501,5414,4011,264176,Critical,573,0.4,2.62,0.83,3962.64,85,6
234,20230113,5,2,3,1671,377,328,1720,3099,2296,426560,Critical,328,0.19,5.24,1.15,6398.4,87,4
235,20230113,6,2,3,3064,415,356,3123,3364,2492,671445,Reorder,356,0.12,8.77,2.08,10071.67,14,0
236,20230113,7,2,4,1159,173,169,1163,1597,1183,218644,Critical,169,0.15,6.88,0.78,3279.66,81,11
237,20230113,8,2,4,3276,1491,1324,3443,12511,9268,1256695,Critical,1324,0.39,2.6,2.3,18850.42,61,0
238,20230113,9,3,5,1284,211,199,1296,1880,1393,311040,Critical,199,0.15,6.51,1.08,4665.6,56,0
239,20230113,10,3,5,1223,201,159,1265,1502,1113,645150,Reorder,159,0.13,7.96,1.05,9677.25,68,0
240,20230113,11,3,6,786,85,74,797,699,518,117956,Healthy,74,0.09,10.77,0.66,1769.34,60,0
241,20230113,12,3,6,1727,269,226,1770,2135,1582,1575300,Reorder,226,0.13,7.83,1.47,23629.5,8,0
