MaintenanceID,DateKey,MachineKey,EmployeeKey,PlantKey,MaintenanceType,MaintenanceStatus,Priority,DowntimeMinutes,MaintenanceDurationHours,LaborHours,SparePartsCost,LaborCost,TotalMaintenanceCost,MTTRHours,MTBFDays,MachineAvailabilityPct,MaintenanceEfficiencyPct,TechnicianRating,RepeatFailure
25,20230101.0,20.0,68.0,4.0,Preventive,Completed,High,49.0,1.71,1.94,663.61,134.77,798.38,1.71,31.08,95.1,92.5,87.45,No
26,20230101.0,23.0,155.0,5.0,Emergency,In Progress,Low,20.0,1.12,0.94,410.12,52.54,462.66,1.12,28.98,98.0,95.64,92.43,No
27,20230101.0,21.0,67.0,5.0,Emergency,Scheduled,Low,50.0,1.56,1.51,526.66,68.16,594.82,1.56,19.61,95.0,92.33,82.03,No
28,20230101.0,21.0,19.0,5.0,Corrective,Completed,High,20.0,1.11,1.31,843.63,66.76,910.39,1.11,4.09,98.0,93.93,91.87,No
29,20230101.0,22.0,47.0,5.0,Emergency,Scheduled,Medium,41.0,2.09,2.45,705.82,114.16,819.98,2.09,16.33,95.9,93.42,92.07,No
30,20230101.0,24.0,64.0,5.0,Emergency,Scheduled,Medium,27.0,3.26,2.92,195.25,224.83,420.08,3.26,15.91,97.3,93.47,82.06,No
31,20230101.0,25.0,171.0,6.0,Predictive,In Progress,Medium,8.0,1.3,1.45,353.51,115.84,469.35,1.3,24.14,99.2,94.35,95.52,No
32,20230101.0,25.0,50.0,6.0,Predictive,Completed,Low,13.0,1.27,1.35,550.96,75.79,626.75,1.27,5.4,98.7,96.59,86.26,No
33,20230101.0,28.0,50.0,6.0,Emergency,Scheduled,Low,56.0,3.63,3.28,506.1,276.64,782.74,3.63,6.21,94.4,91.55,86.22,No
34,20230101.0,25.0,16.0,6.0,Predictive,In Progress,Low,5.0,1.55,1.6,453.21,117.36,570.57,1.55,3.79,99.5,98.13,84.57,No
35,20230101.0,32.0,101.0,7.0,Predictive,In Progress,High,8.0,3.01,3.52,351.87,251.8,603.67,3.01,13.42,99.2,97.71,92.75,No
36,20230101.0,32.0,56.0,7.0,Preventive,In Progress,High,23.0,2.27,1.99,366.08,119.73,485.81,2.27,43.04,97.7,92.69,89.58,No
37,20230101.0,38.0,124.0,8.0,Preventive,In Progress,High,8.0,1.16,1.29,259.7,74.68,334.38,1.16,37.98,99.2,96.6,91.58,No
38,20230101.0,33.0,103.0,8.0,Preventive,In Progress,Critical,37.0,1.35,1.59,219.86,91.29,311.15,1.35,45.81,96.3,91.23,81.12,No
39,20230101.0,34.0,32.0,8.0,Emergency,Completed,Medium,16.0,2.98,3.07,288.18,185.3,473.48,2.98,35.31,98.4,93.22,88.61,Yes
40,20230102.0,2.0,121.0,1.0,Predictive,In Progress,Critical,20.0,2.84,3.06,744.87,205.93,950.8,2.84,20.43,98.0,92.71,87.13,No
41,20230102.0,5.0,28.0,1.0,Emergency,Scheduled,Medium,38.0,3.21,3.27,778.84,244.42,1023.26,3.21,17.17,96.2,91.67,81.33,No
42,20230102.0,2.0,177.0,1.0,Emergency,Scheduled,Medium,30.0,1.69,1.4,592.87,78.22,671.09,1.69,9.07,97.0,93.8,83.57,No
43,20230102.0,3.0,129.0,1.0,Emergency,In Progress,Low,9.0,2.42,2.0,626.81,133.41,760.22,2.42,12.11,99.1,94.18,90.34,Yes
44,20230102.0,5.0,30.0,1.0,Emergency,Completed,High,21.0,3.21,2.95,477.04,237.96,715.0,3.21,26.97,97.9,94.66,91.34,No
45,20230102.0,1.0,84.0,1.0,Preventive,In Progress,Low,58.0,2.56,2.08,699.28,150.1,849.38,2.56,9.71,94.2,89.33,88.27,No
46,20230102.0,5.0,198.0,1.0,Emergency,In Progress,Critical,57.0,1.66,1.61,760.78,84.15,844.93,1.66,11.35,94.3,90.19,83.98,No
47,20230102.0,9.0,40.0,2.0,Preventive,Completed,Medium,14.0,1.36,1.13,293.18,75.23,368.41,1.36,27.5,98.6,94.41,92.55,Yes
48,20230102.0,8.0,122.0,2.0,Predictive,Completed,Low,21.0,2.95,3.09,497.49,197.58,695.07,2.95,5.75,97.9,96.67,94.26,No
49,20230102.0,7.0,15.0,2.0,Emergency,Scheduled,Medium,7.0,2.56,2.22,614.38,151.29,765.67,2.56,20.65,99.3,96.2,91.96,No
50,20230102.0,9.0,60.0,2.0,Preventive,In Progress,Critical,32.0,1.22,1.31,706.52,64.29,770.81,1.22,22.1,96.8,95.11,97.6,Yes
51,20230102.0,7.0,53.0,2.0,Emergency,Scheduled,Medium,42.0,2.85,2.36,900.41,107.39,1007.8,2.85,10.98,95.8,92.4,95.83,No
52,20230102.0,8.0,5.0,2.0,Predictive,In Progress,Medium,55.0,2.51,2.74,1053.59,152.9,1206.49,2.51,20.4,94.5,91.37,90.18,No
53,20230102.0,13.0,160.0,3.0,Emergency,In Progress,Medium,54.0,3.48,2.9,879.51,158.79,1038.3,3.48,14.79,94.6,91.81,88.25,Yes
54,20230102.0,16.0,166.0,3.0,Preventive,Completed,Critical,60.0,2.72,2.56,512.64,143.84,656.48,2.72,15.92,94.0,92.5,90.69,No
55,20230102.0,15.0,12.0,3.0,Emergency,Scheduled,Medium,55.0,2.64,2.91,468.51,206.13,674.64,2.64,24.65,94.5,92.58,90.45,No
56,20230102.0,13.0,62.0,3.0,Predictive,In Progress,High,29.0,1.75,1.81,601.82,119.89,721.71,1.75,13.86,97.1,94.9,93.92,No
57,20230102.0,13.0,31.0,3.0,Predictive,Scheduled,High,24.0,1.48,1.61,494.57,120.29,614.86,1.48,26.33,97.6,95.11,88.74,No
58,20230102.0,17.0,196.0,4.0,Preventive,Scheduled,High,60.0,3.95,4.48,481.45,266.27,747.72,3.95,10.93,94.0,91.69,84.69,Yes
59,20230102.0,19.0,194.0,4.0,Predictive,Completed,Low,58.0,3.21,2.73,544.1,176.45,720.55,3.21,39.16,94.2,91.25,88.29,No
60,20230102.0,17.0,108.0,4.0,Corrective,Scheduled,High,21.0,1.48,1.69,357.58,80.47,438.05,1.48,15.43,97.9,94.85,86.21,No
61,20230102.0,20.0,130.0,4.0,Emergency,In Progress,High,43.0,1.43,1.29,577.05,79.52,656.57,1.43,20.47,95.7,92.92,91.63,No
62,20230102.0,20.0,180.0,4.0,Corrective,In Progress,Low,32.0,3.18,3.8,426.7,265.4,692.1,3.18,20.83,96.8,94.57,89.23,No
63,20230102.0,22.0,128.0,5.0,Predictive,Scheduled,High,26.0,1.33,1.16,248.28,52.32,300.6,1.33,19.27,97.4,94.45,83.44,No
64,20230102.0,21.0,91.0,5.0,Emergency,Completed,Medium,25.0,2.67,2.62,840.85,214.73,1055.58,2.67,19.97,97.5,94.7,87.23,No
65,20230102.0,22.0,64.0,5.0,Emergency,Completed,Critical,48.0,2.92,3.4,631.58,162.71,794.29,2.92,10.25,95.2,90.95,86.04,No
66,20230102.0,23.0,132.0,5.0,Predictive,Scheduled,High,23.0,2.61,2.82,575.64,183.35,758.99,2.61,24.76,97.7,92.23,88.28,No
67,20230102.0,23.0,172.0,5.0,Preventive,Completed,Critical,37.0,1.18,1.05,461.58,83.39,544.97,1.18,28.31,96.3,90.62,98.15,No
68,20230102.0,22.0,34.0,5.0,Predictive,In Progress,High,44.0,2.53,2.47,351.86,209.65,561.51,2.53,18.8,95.6,93.76,86.98,No
69,20230102.0,27.0,50.0,6.0,Emergency,Completed,High,7.0,1.42,1.2,243.35,73.76,317.11,1.42,24.83,99.3,96.63,86.6,Yes
70,20230102.0,25.0,125.0,6.0,Emergency,Completed,Medium,17.0,1.41,1.19,805.33,94.72,900.05,1.41,23.34,98.3,92.41,87.49,No
71,20230102.0,28.0,97.0,6.0,Emergency,Scheduled,Critical,5.0,1.88,1.97,464.23,123.48,587.71,1.88,6.63,99.5,94.86,90.72,No
72,20230102.0,30.0,38.0,7.0,Corrective,Completed,Critical,34.0,1.37,1.63,433.77,88.95,522.72,1.37,12.02,96.6,93.46,94.27,Yes
73,20230102.0,29.0,93.0,7.0,Emergency,Completed,Critical,38.0,3.5,3.71,288.53,305.36,593.89,3.5,14.24,96.2,93.82,94.51,No
74,20230102.0,36.0,193.0,8.0,Predictive,Scheduled,High,32.0,2.41,2.3,340.08,150.26,490.34,2.41,65.69,96.8,95.17,85.73,No
75,20230102.0,36.0,58.0,8.0,Predictive,In Progress,Critical,21.0,2.9,2.65,181.13,181.47,362.6,2.9,73.26,97.9,94.42,80.64,No
76,20230102.0,35.0,136.0,8.0,Predictive,Scheduled,Critical,33.0,2.19,2.03,153.11,147.99,301.1,2.19,46.21,96.7,92.03,96.43,Yes
77,20230103.0,3.0,100.0,1.0,Corrective,Scheduled,High,13.0,2.48,2.79,610.35,199.62,809.97,2.48,20.66,98.7,97.62,85.47,Yes
78,20230103.0,6.0,54.0,1.0,Preventive,In Progress,High,31.0,3.19,3.67,434.56,242.36,676.92,3.19,19.47,96.9,94.59,90.27,No
79,20230103.0,4.0,22.0,1.0,Emergency,Scheduled,Low,54.0,2.25,2.42,721.89,191.35,913.24,2.25,23.99,94.6,92.99,93.06,No
80,20230103.0,1.0,195.0,1.0,Emergency,Completed,High,27.0,2.49,2.23,1024.91,125.98,1150.89,2.49,6.66,97.3,91.9,93.05,Yes
81,20230103.0,4.0,145.0,1.0,Corrective,Completed,Low,43.0,3.48,2.85,821.38,161.69,983.07,3.48,12.65,95.7,90.65,84.52,No
82,20230103.0,2.0,86.0,1.0,Predictive,Scheduled,Low,26.0,2.46,2.34,930.66,151.88,1082.54,2.46,14.08,97.4,92.69,92.47,No
83,20230103.0,6.0,70.0,1.0,Emergency,Scheduled,High,44.0,3.48,3.43,356.69,229.34,586.03,3.48,7.34,95.6,94.38,94.31,No
84,20230103.0,5.0,156.0,1.0,Predictive,Completed,Critical,32.0,2.18,2.01,839.63,159.06,998.69,2.18,7.18,96.8,92.84,83.31,No
85,20230103.0,2.0,22.0,1.0,Corrective,Scheduled,High,34.0,1.75,1.8,932.93,134.62,1067.55,1.75,3.93,96.6,93.73,93.88,No
86,20230103.0,10.0,106.0,2.0,Preventive,In Progress,Critical,52.0,1.91,1.67,394.12,125.62,519.74,1.91,25.12,94.8,92.34,81.76,Yes
87,20230103.0,8.0,13.0,2.0,Predictive,Completed,High,53.0,1.47,1.39,415.53,113.13,528.66,1.47,10.23,94.7,90.99,82.21,No
88,20230103.0,8.0,3.0,2.0,Corrective,Completed,Critical,35.0,3.37,3.97,1055.05,225.52,1280.57,3.37,21.71,96.5,94.59,84.08,Yes
89,20230103.0,8.0,178.0,2.0,Emergency,Scheduled,High,15.0,3.17,3.56,594.82,272.79,867.61,3.17,3.63,98.5,95.23,88.78,No
90,20230103.0,7.0,60.0,2.0,Emergency,Scheduled,High,6.0,0.87,0.78,371.27,62.69,433.96,0.87,13.67,99.4,97.98,94.95,Yes
91,20230103.0,10.0,147.0,2.0,Emergency,In Progress,High,42.0,2.82,2.39,271.98,111.11,383.09,2.82,31.32,95.8,90.61,92.04,No
92,20230103.0,8.0,25.0,2.0,Emergency,Scheduled,Critical,48.0,2.98,3.27,1038.67,201.97,1240.64,2.98,19.0,95.2,90.22,92.7,Yes
93,20230103.0,11.0,5.0,2.0,Predictive,Completed,Critical,28.0,3.31,3.02,562.04,162.15,724.19,3.31,19.08,97.2,92.52,89.34,No
94,20230103.0,9.0,1.0,2.0,Preventive,In Progress,Medium,11.0,1.37,1.63,925.33,127.09,1052.42,1.37,5.93,98.9,94.01,96.68,Yes
95,20230103.0,15.0,166.0,3.0,Predictive,Completed,Low,38.0,3.61,4.02,262.21,314.33,576.54,3.61,27.06,96.2,93.25,92.49,No
96,20230103.0,16.0,149.0,3.0,Preventive,In Progress,Medium,57.0,2.14,2.55,1070.46,169.85,1240.31,2.14,20.19,94.3,89.16,86.87,No
97,20230103.0,14.0,31.0,3.0,Predictive,Scheduled,Low,33.0,2.52,2.03,402.89,101.64,504.53,2.52,15.71,96.7,91.45,87.84,No
98,20230103.0,16.0,153.0,3.0,Preventive,In Progress,Critical,36.0,2.23,1.98,785.56,146.7,932.26,2.23,22.52,96.4,93.79,96.11,Yes
99,20230103.0,15.0,31.0,3.0,Predictive,Scheduled,High,22.0,1.93,1.63,477.77,102.27,580.04,1.93,40.17,97.8,93.51,88.44,No
100,20230103.0,14.0,149.0,3.0,Emergency,In Progress,Medium,10.0,1.62,1.68,420.46,109.57,530.03,1.62,15.96,99.0,96.99,81.6,No
101,20230103.0,15.0,149.0,3.0,Emergency,Completed,Low,46.0,2.3,2.6,344.46,192.88,537.34,2.3,17.88,95.4,91.17,82.58,No
102,20230103.0,17.0,114.0,4.0,Preventive,In Progress,High,24.0,2.98,2.5,345.66,186.38,532.04,2.98,23.03,97.6,94.46,98.11,No
103,20230103.0,20.0,176.0,4.0,Corrective,Completed,Critical,52.0,3.55,4.18,496.65,341.23,837.88,3.55,5.68,94.8,90.48,96.19,Yes
104,20230103.0,20.0,108.0,4.0,Predictive,Completed,Medium,51.0,1.91,1.61,748.0,96.12,844.12,1.91,24.99,94.9,91.93,87.05,Yes
105,20230103.0,18.0,68.0,4.0,Corrective,Scheduled,Low,51.0,2.03,2.24,679.98,132.25,812.23,2.03,10.74,94.9,89.89,92.0,Yes
106,20230103.0,19.0,37.0,4.0,Preventive,Completed,Medium,28.0,1.2,1.21,334.88,76.41,411.29,1.2,11.98,97.2,92.88,89.67,Yes
107,20230103.0,18.0,108.0,4.0,Preventive,In Progress,Critical,23.0,2.77,2.27,251.61,142.38,393.99,2.77,18.43,97.7,94.8,84.3,No
108,20230103.0,20.0,37.0,4.0,Preventive,Completed,High,35.0,1.36,1.46,597.91,96.47,694.38,1.36,12.66,96.5,91.77,94.29,Yes
109,20230103.0,21.0,83.0,5.0,Emergency,Scheduled,Medium,57.0,3.81,4.22,899.58,238.76,1138.34,3.81,5.87,94.3,90.99,86.81,No
110,20230103.0,21.0,26.0,5.0,Predictive,Scheduled,Critical,24.0,2.15,2.44,931.74,116.83,1048.57,2.15,21.53,97.6,91.95,91.13,Yes
111,20230103.0,21.0,144.0,5.0,Predictive,Completed,Critical,19.0,2.25,2.44,634.54,121.04,755.58,2.25,3.77,98.1,93.81,90.61,No
112,20230103.0,24.0,155.0,5.0,Corrective,Completed,Low,32.0,3.14,2.82,340.22,186.0,526.22,3.14,26.3,96.8,92.49,93.38,No
113,20230103.0,21.0,35.0,5.0,Corrective,In Progress,Medium,18.0,2.13,1.87,908.81,110.41,1019.22,2.13,23.56,98.2,95.48,81.23,Yes
114,20230103.0,26.0,42.0,6.0,Predictive,Scheduled,High,31.0,1.45,1.25,696.7,60.02,756.72,1.45,30.11,96.9,94.13,97.25,No
115,20230103.0,28.0,78.0,6.0,Emergency,In Progress,Low,23.0,1.26,1.04,435.53,59.4,494.93,1.26,13.7,97.7,92.11,92.75,No
116,20230103.0,25.0,171.0,6.0,Preventive,In Progress,Medium,55.0,1.56,1.77,332.18,140.84,473.02,1.56,24.06,94.5,91.74,93.35,No
117,20230103.0,32.0,17.0,7.0,Corrective,Completed,Medium,22.0,1.67,1.65,191.29,78.33,269.62,1.67,12.42,97.8,96.33,85.6,Yes
118,20230103.0,29.0,38.0,7.0,Preventive,Scheduled,High,57.0,3.22,3.85,477.27,267.16,744.43,3.22,16.52,94.3,92.97,93.11,No
119,20230103.0,32.0,17.0,7.0,Predictive,Completed,Medium,30.0,1.16,0.97,370.65,54.67,425.32,1.16,41.88,97.0,94.36,89.54,No
120,20230103.0,32.0,93.0,7.0,Predictive,Completed,Low,32.0,3.33,3.08,363.06,220.18,583.24,3.33,13.63,96.8,94.42,92.19,No
121,20230103.0,33.0,46.0,8.0,Corrective,Completed,Medium,60.0,3.12,3.02,263.02,179.7,442.72,3.12,16.06,94.0,89.37,86.23,No
122,20230103.0,38.0,77.0,8.0,Corrective,Scheduled,Critical,16.0,1.15,1.06,305.97,69.23,375.2,1.15,44.19,98.4,96.13,87.49,No
123,20230103.0,36.0,77.0,8.0,Corrective,In Progress,High,45.0,1.64,1.43,281.68,100.09,381.77,1.64,67.17,95.5,93.21,84.11,No
124,20230104.0,3.0,127.0,1.0,Predictive,Scheduled,Critical,59.0,3.36,3.74,494.01,204.08,698.09,3.36,23.72,94.1,92.14,92.53,No
125,20230104.0,6.0,134.0,1.0,Predictive,Completed,Critical,57.0,2.6,2.37,404.75,156.65,561.4,2.6,35.6,94.3,92.49,90.61,No
126,20230104.0,4.0,28.0,1.0,Emergency,Scheduled,Medium,54.0,3.59,3.67,349.76,289.33,639.09,3.59,23.97,94.6,90.27,84.94,No
127,20230104.0,1.0,177.0,1.0,Predictive,Completed,Critical,8.0,2.71,2.27,1236.32,176.31,1412.63,2.71,18.01,99.2,97.86,85.5,No
128,20230104.0,5.0,195.0,1.0,Preventive,In Progress,Critical,8.0,3.12,2.96,261.77,243.41,505.18,3.12,27.06,99.2,96.47,91.74,No
129,20230104.0,2.0,98.0,1.0,Emergency,Completed,High,12.0,2.44,2.09,949.71,131.55,1081.26,2.44,3.1,98.8,93.26,81.99,No
130,20230104.0,5.0,198.0,1.0,Preventive,Scheduled,Medium,40.0,1.76,1.49,386.87,105.13,492.0,1.76,21.19,96.0,90.54,86.66,No
131,20230104.0,8.0,40.0,2.0,Preventive,Scheduled,Low,58.0,3.26,2.99,316.2,176.75,492.95,3.26,15.38,94.2,89.43,92.68,No
132,20230104.0,9.0,186.0,2.0,Corrective,Scheduled,Low,35.0,2.06,2.04,712.26,171.85,884.11,2.06,9.77,96.5,90.79,94.72,No
133,20230104.0,10.0,53.0,2.0,Emergency,Scheduled,Medium,37.0,3.05,3.34,442.85,156.22,599.07,3.05,19.11,96.3,94.44,94.03,No
134,20230104.0,7.0,107.0,2.0,Predictive,In Progress,Critical,26.0,2.96,2.44,1009.76,154.47,1164.23,2.96,8.58,97.4,91.77,88.8,Yes
135,20230104.0,9.0,1.0,2.0,Predictive,Completed,High,42.0,3.67,3.73,452.25,280.24,732.49,3.67,8.29,95.8,91.76,97.67,No
136,20230104.0,10.0,53.0,2.0,Predictive,Completed,Critical,26.0,2.03,1.95,506.64,162.36,669.0,2.03,13.49,97.4,92.47,97.64,No
137,20230104.0,10.0,178.0,2.0,Emergency,Scheduled,Critical,49.0,1.51,1.57,734.29,104.91,839.2,1.51,13.0,95.1,89.77,90.23,No
138,20230104.0,8.0,161.0,2.0,Preventive,Scheduled,Critical,50.0,1.75,1.71,657.05,126.66,783.71,1.75,22.58,95.0,92.22,89.84,Yes
139,20230104.0,10.0,53.0,2.0,Corrective,Completed,Medium,37.0,2.02,2.26,649.25,187.83,837.08,2.02,8.16,96.3,93.45,98.27,Yes
140,20230104.0,15.0,20.0,3.0,Emergency,Completed,Medium,51.0,3.3,3.12,337.71,211.19,548.9,3.3,28.99,94.9,92.43,94.04,No
141,20230104.0,13.0,20.0,3.0,Preventive,In Progress,High,26.0,2.26,2.17,721.7,119.32,841.02,2.26,6.44,97.4,95.14,90.89,No
142,20230104.0,12.0,75.0,3.0,Emergency,Completed,Critical,29.0,2.74,2.43,957.11,176.8,1133.91,2.74,19.98,97.1,92.25,85.95,Yes
143,20230104.0,15.0,149.0,3.0,Predictive,Completed,Medium,45.0,3.74,4.2,586.21,354.74,940.95,3.74,31.38,95.5,93.16,84.65,No
144,20230104.0,13.0,166.0,3.0,Emergency,Scheduled,Medium,53.0,3.37,3.38,362.53,179.27,541.8,3.37,7.05,94.7,92.76,86.98,No
145,20230104.0,15.0,29.0,3.0,Corrective,In Progress,Low,7.0,2.15,1.79,306.45,152.12,458.57,2.15,33.32,99.3,95.95,95.18,Yes
146,20230104.0,14.0,75.0,3.0,Emergency,Scheduled,Low,38.0,2.26,2.42,449.99,193.89,643.88,2.26,25.46,96.2,93.51,86.27,No
147,20230104.0,18.0,27.0,4.0,Preventive,In Progress,Medium,48.0,3.38,3.4,365.1,175.03,540.13,3.38,34.6,95.2,90.56,99.43,No
148,20230104.0,18.0,99.0,4.0,Corrective,Scheduled,High,21.0,2.44,2.49,273.84,142.21,416.05,2.44,21.89,97.9,94.49,86.78,No
149,20230104.0,19.0,196.0,4.0,Emergency,Scheduled,Low,27.0,3.06,3.14,525.73,144.86,670.59,3.06,7.73,97.3,94.58,87.84,No
150,20230104.0,20.0,108.0,4.0,Emergency,Completed,Low,29.0,2.23,2.34,417.35,194.84,612.19,2.23,17.39,97.1,95.18,86.19,No
151,20230104.0,18.0,157.0,4.0,Emergency,Completed,High,49.0,1.71,1.65,446.87,96.7,543.57,1.71,9.55,95.1,93.49,94.44,No
152,20230104.0,23.0,8.0,5.0,Emergency,Completed,Medium,52.0,2.65,2.23,277.74,111.28,389.02,2.65,23.08,94.8,89.78,82.35,No
153,20230104.0,24.0,89.0,5.0,Emergency,Completed,Low,56.0,3.47,4.07,385.18,214.05,599.23,3.47,15.07,94.4,93.44,95.47,No
154,20230104.0,22.0,83.0,5.0,Predictive,Scheduled,Low,47.0,3.65,3.66,703.01,196.2,899.21,3.65,16.18,95.3,89.82,87.26,No
155,20230104.0,21.0,19.0,5.0,Predictive,Scheduled,High,42.0,3.32,3.23,990.08,239.34,1229.42,3.32,19.46,95.8,91.8,90.8,No
156,20230104.0,21.0,89.0,5.0,Emergency,In Progress,High,17.0,0.97,0.97,899.77,54.5,954.27,0.97,24.21,98.3,95.75,93.03,Yes
157,20230104.0,23.0,200.0,5.0,Emergency,Scheduled,Critical,15.0,2.14,2.02,236.31,139.58,375.89,2.14,21.25,98.5,92.79,84.67,No
158,20230104.0,27.0,36.0,6.0,Predictive,Scheduled,Critical,53.0,1.76,2.04,234.41,167.8,402.21,1.76,18.1,94.7,90.88,96.52,No
159,20230104.0,28.0,142.0,6.0,Emergency,In Progress,Medium,5.0,2.36,2.17,626.03,129.62,755.65,2.36,26.34,99.5,98.4,91.49,Yes
160,20230104.0,28.0,80.0,6.0,Preventive,Scheduled,Low,42.0,3.0,3.1,296.96,217.5,514.46,3.0,24.62,95.8,94.08,94.43,No
161,20230104.0,27.0,36.0,6.0,Preventive,Scheduled,Medium,44.0,1.71,1.67,352.98,102.74,455.72,1.71,13.75,95.6,92.26,96.48,No
162,20230104.0,30.0,141.0,7.0,Predictive,Scheduled,High,49.0,2.61,2.67,599.2,171.24,770.44,2.61,20.32,95.1,93.94,93.02,No
163,20230104.0,29.0,18.0,7.0,Corrective,Scheduled,Critical,36.0,2.63,2.31,335.72,155.52,491.24,2.63,12.12,96.4,95.31,95.48,No
164,20230104.0,30.0,88.0,7.0,Emergency,In Progress,Medium,52.0,2.16,2.03,571.82,155.94,727.76,2.16,16.39,94.8,89.69,89.14,No
165,20230104.0,32.0,126.0,7.0,Predictive,Scheduled,High,31.0,1.74,1.59,382.81,93.58,476.39,1.74,28.51,96.9,92.33,85.35,No
166,20230104.0,36.0,77.0,8.0,Preventive,In Progress,High,33.0,1.39,1.45,254.64,79.31,333.95,1.39,52.42,96.7,93.47,88.27,Yes
167,20230104.0,35.0,51.0,8.0,Emergency,Scheduled,Medium,46.0,3.06,2.57,301.55,116.18,417.73,3.06,44.86,95.4,94.11,95.05,No
168,20230105.0,2.0,30.0,1.0,Corrective,In Progress,Medium,10.0,2.56,2.34,592.6,110.84,703.44,2.56,17.61,99.0,96.29,87.83,Yes
169,20230105.0,6.0,165.0,1.0,Preventive,Completed,High,26.0,3.27,2.66,636.46,203.54,840.0,3.27,10.9,97.4,95.2,86.31,No
170,20230105.0,5.0,71.0,1.0,Emergency,In Progress,Medium,18.0,2.22,1.87,829.88,105.44,935.32,2.22,31.13,98.2,94.98,97.46,No
171,20230105.0,3.0,195.0,1.0,Corrective,Completed,Critical,5.0,2.61,2.43,874.31,172.36,1046.67,2.61,18.5,99.5,93.6,88.56,No
