ProductionID,DateKey,PlantKey,MachineKey,EmployeeKey,ProductKey,ShiftKey,ProductionHours,MachineUtilizationPct,DowntimeMinutes,QuantityProduced,GoodQuantity,RejectedQuantity,DefectRatePct,OEE,UnitCost,UnitPrice,GrossRevenue,ProductionCost,DowntimeCost,LaborCost,ScrapCost,TotalCost,Profit,ProfitMarginPct,CostPerGoodUnit
75,20230102,8,36,58,22,3,7.62,80.64,21,50,48,2,3.84,73.86,34,79,3792,1700,171.68,260.27,68,2199.95,1592.05,41.98,45.83
76,20230102,8,35,136,22,3,7.23,77.25,33,50,49,1,2.77,69.95,34,79,3871,1700,444.51,211.4,34,2389.91,1481.09,38.26,48.77
77,20230103,1,3,100,4,1,6.98,90.64,13,217,213,4,1.83,86.21,176,329,70077,38192,112.11,245.6,704,39253.7,30823.3,43.98,184.29
78,20230103,1,6,54,1,2,7.56,79.71,31,367,359,8,2.1,72.64,82,149,53491,30094,374.38,359.18,656,31483.56,22007.44,41.14,87.7
79,20230103,1,4,22,2,2,6.81,85.17,54,231,226,5,2.03,72.31,108,199,44974,24948,464.46,161.92,540,26114.38,18859.62,41.93,115.55
80,20230103,1,1,195,1,3,7.36,80.67,27,285,276,9,3.1,73.35,82,149,41124,23370,336.1,341.7,738,24785.8,16338.2,39.73,89.8
81,20230103,1,4,145,5,2,7.62,87.11,43,233,228,5,2.31,77.22,248,449,102372,57784,545.1,400.24,1240,59969.33,42402.67,41.42,263.02
82,20230103,1,2,86,3,2,7.15,79.17,26,305,299,6,1.96,72.91,132,249,74451,40260,314.91,177.65,792,41544.56,32906.44,44.2,138.95
83,20230103,1,6,70,2,2,7.76,92.84,44,391,384,7,1.82,82.56,108,199,76416,42228,554.92,169.34,756,43708.26,32707.74,42.8,113.82
84,20230103,1,5,156,1,2,7.49,80.01,32,185,180,5,2.77,72.3,82,149,26820,15170,411.94,250.74,410,16242.68,10577.32,39.44,90.24
85,20230103,1,2,22,2,2,6.89,83.75,34,286,281,5,1.58,75.52,108,199,55919,30888,430.58,163.82,540,32022.4,23896.6,42.73,113.96
86,20230103,2,10,106,6,2,7.75,85.94,52,154,151,3,2.07,74.84,215,399,60249,33110,754.49,367.4,645,34876.89,25372.11,42.11,230.97
87,20230103,2,8,13,8,2,7.67,88.73,53,177,172,5,2.64,76.29,365,699,120228,64605,568.29,412.34,1825,67410.64,52817.36,43.93,391.92
88,20230103,2,8,3,7,1,7.43,85.82,35,194,190,4,1.96,77.45,188,349,66310,36472,348.96,318.1,752,37891.06,28418.94,42.86,199.43
89,20230103,2,8,178,8,3,7.55,84.84,15,212,204,8,3.55,78.94,365,699,142596,77380,174.95,410.93,2920,80885.89,61710.11,43.28,396.5
90,20230103,2,7,60,7,3,7.95,75.36,6,286,279,7,2.48,72.59,188,349,97371,53768,51.41,268.93,1316,55404.34,41966.66,43.1,198.58
91,20230103,2,10,147,6,3,7.91,76.66,42,190,185,5,2.72,68.04,215,399,73815,40850,399.01,358.12,1075,42682.13,31132.87,42.18,230.71
92,20230103,2,8,25,8,3,7.55,78.14,48,226,220,6,2.78,68.01,365,699,153780,82490,680.16,215.47,2190,85575.62,68204.38,44.35,388.98
93,20230103,2,11,5,8,1,7.02,88.85,28,238,234,4,1.81,81.55,365,699,163566,86870,398,303.14,1460,89031.14,74534.86,45.57,380.47
94,20230103,2,9,1,7,3,7.77,85.64,11,212,206,6,2.63,81.25,188,349,71894,39856,101.87,172.45,1128,41258.33,30635.67,42.61,200.28
95,20230103,3,15,166,12,3,6.73,76.34,38,175,169,6,3.32,66.78,890,1499,253331,155750,312.75,351.04,5340,161753.8,91577.2,36.15,957.12
96,20230103,3,16,149,10,2,7.66,85.86,57,144,141,3,2.22,73.64,510,899,126759,73440,739.61,369.53,1530,76079.14,50679.86,39.98,539.57
97,20230103,3,14,31,10,2,7.75,80.05,33,89,87,2,1.7,72.7,510,899,78213,45390,349.59,318.72,1020,47078.31,31134.69,39.81,541.13
98,20230103,3,16,153,10,2,7.5,83.89,36,174,171,3,1.94,75.85,510,899,153729,88740,415.63,389.1,1530,91074.73,62654.27,40.76,532.6
99,20230103,3,15,31,9,1,7.03,86.13,22,182,179,3,1.92,80.29,240,449,80371,43680,217.52,289.11,720,44906.63,35464.37,44.13,250.88
100,20230103,3,14,149,9,3,6.52,87.45,10,67,65,2,3.63,82.67,240,449,29185,16080,119.92,314.53,480,16994.45,12190.55,41.77,261.45
101,20230103,3,15,149,9,2,7.64,89.33,46,172,168,4,2.54,78.5,240,449,75432,41280,513.3,368.56,960,43121.86,32310.14,42.83,256.68
102,20230103,4,17,114,14,1,6.83,93.07,24,72,71,1,1.62,86.4,1880,3399,241329,135360,276.48,262.49,1880,137778.97,103550.03,42.91,1940.55
103,20230103,4,20,176,13,2,7.3,85.26,52,80,78,2,1.97,73.26,1350,2499,194922,108000,647.88,278.7,2700,111626.57,83295.43,42.73,1431.11
104,20230103,4,20,108,14,2,6.96,82.26,51,60,58,2,2.55,69.81,1880,3399,197142,112800,734.55,190.92,3760,117485.48,79656.52,40.41,2025.61
105,20230103,4,18,68,15,1,6.82,89.75,51,59,58,1,1.6,77.23,2450,4399,255142,144550,757.77,201.74,2450,147959.51,107182.49,42.01,2551.03
106,20230103,4,19,37,13,3,7.75,78.07,28,125,121,4,3.4,71.02,1350,2499,302379,168750,348.81,457.09,5400,174955.89,127423.11,42.14,1445.92
107,20230103,4,18,108,14,1,6.57,82.87,23,52,51,1,1.79,76.53,1880,3399,173349,97760,211.83,180.23,1880,100032.06,73316.94,42.29,1961.41
108,20230103,4,20,37,15,1,7.81,91.19,35,78,77,1,1.81,83.3,2450,4399,338723,191100,297.79,460.62,2450,194308.41,144414.59,42.64,2523.49
109,20230103,5,21,83,16,1,7.91,89.64,57,115,113,2,1.97,77.5,620,1199,135487,71300,794.56,208.79,1240,73543.35,61943.65,45.72,650.83
110,20230103,5,21,26,16,2,6.73,91.18,24,111,109,2,1.53,84.22,620,1199,130691,68820,340.05,179.82,1240,70579.87,60111.13,45.99,647.52
111,20230103,5,21,144,16,1,7.41,94.65,19,126,123,3,2.01,88.45,620,1199,147477,78120,173.28,227.44,1860,80380.71,67096.29,45.5,653.5
112,20230103,5,24,155,16,2,6.95,87.76,32,143,140,3,2.01,79.33,620,1199,167860,88660,396.46,399.52,1860,91315.98,76544.02,45.6,652.26
113,20230103,5,21,35,18,3,7.92,76.79,18,113,109,4,3.71,71.27,4,15,1635,452,188.57,419.4,16,1075.97,559.03,34.19,9.87
114,20230103,6,26,42,20,1,7.33,84.5,31,80,79,1,1.51,77.56,26,59,4661,2080,270.32,401.07,26,2777.39,1883.61,40.41,35.16
115,20230103,6,28,78,20,3,6.55,77.95,23,68,66,2,2.87,71.23,26,59,3894,1768,235.68,249,52,2304.68,1589.32,40.81,34.92
116,20230103,6,25,171,20,2,6.85,82.78,55,77,75,2,2.23,69.84,26,59,4425,2002,614.59,401.66,52,3070.25,1354.75,30.62,40.94
117,20230103,7,32,17,21,1,7.32,92.36,22,50,49,1,2.1,85.98,15,35,1715,750,185.48,346.64,15,1297.12,417.88,24.37,26.47
118,20230103,7,29,38,21,1,7.69,91.52,57,51,50,1,1.31,78.64,15,35,1750,765,487.04,369.36,15,1636.4,113.6,6.49,32.73
119,20230103,7,32,17,21,2,7.2,83.39,30,50,49,1,2.24,76.05,15,35,1715,750,437.44,340.95,15,1543.4,171.6,10.01,31.5
120,20230103,7,32,93,21,3,6.62,74.37,32,51,50,1,2.93,67.04,15,35,1750,765,463.15,231.21,15,1474.36,275.64,15.75,29.49
121,20230103,8,33,46,22,2,6.84,89.08,60,50,49,1,2.79,74.54,34,79,3871,1700,510.06,306.21,34,2550.27,1320.73,34.12,52.05
122,20230103,8,38,77,22,1,7.36,94.21,16,50,49,1,1.45,88.98,34,79,3871,1700,233.14,326.52,34,2293.66,1577.34,40.75,46.81
123,20230103,8,36,77,22,3,6.77,82.23,45,50,48,2,3.32,70.2,34,79,3792,1700,500.39,300.34,68,2568.73,1223.27,32.26,53.52
124,20230104,1,3,127,1,2,7,89.01,59,234,228,6,2.38,74.54,82,149,33972,19188,506.87,235.83,492,20422.69,13549.31,39.88,89.57
125,20230104,1,6,134,1,2,6.93,93.24,57,349,340,9,2.45,78.38,82,149,50660,28618,548.4,344.79,738,30249.19,20410.81,40.29,88.97
126,20230104,1,4,28,2,1,6.97,87.17,54,191,187,4,2.28,74.32,108,199,37213,20628,469.48,255.8,432,21785.27,15427.73,41.46,116.5
127,20230104,1,1,177,4,3,7.8,80.45,8,278,269,9,3.2,76.51,176,329,88501,48928,97.38,175.36,1584,50784.74,37716.26,42.62,188.79
128,20230104,1,5,195,5,2,7.25,85.51,8,199,195,4,2.01,82.25,248,449,87555,49352,103.28,336.6,992,50783.87,36771.13,42,260.43
129,20230104,1,2,98,1,3,7.16,83.85,12,237,230,7,3.15,79.1,82,149,34270,19434,129.48,201.39,574,20338.87,13931.13,40.65,88.43
130,20230104,1,5,198,3,3,6.86,76.08,40,165,160,5,3.12,66.61,132,249,39840,21780,447.2,345.75,660,23232.96,16607.04,41.68,145.21
131,20230104,2,8,40,7,1,7.19,83.88,58,192,189,3,1.6,71.47,188,349,65961,36096,775.33,319.15,564,37754.48,28206.52,42.76,199.76
132,20230104,2,9,186,6,3,7.56,79.78,35,217,211,6,2.72,71.59,215,399,84189,46655,489.65,368.67,1290,48803.32,35385.68,42.03,231.3
133,20230104,2,10,53,6,1,7.08,96.75,37,176,174,2,1.09,87.32,215,399,69426,37840,398.51,395.45,430,39063.96,30362.04,43.73,224.51
134,20230104,2,7,107,6,1,7.66,95.67,26,256,251,5,1.76,88.5,215,399,100149,55040,271,179.51,1075,56565.51,43583.49,43.52,225.36
135,20230104,2,9,1,8,3,6.92,78.1,42,194,189,5,2.5,68.39,365,699,132111,70810,629.73,153.59,1825,73418.31,58692.69,44.43,388.46
136,20230104,2,10,53,6,3,7.17,80.77,26,172,167,5,2.93,73.68,215,399,66633,36980,309,400.48,1075,38764.47,27868.53,41.82,232.12
137,20230104,2,10,178,7,3,7.9,86.32,49,161,156,5,3.06,74.99,188,349,54444,30268,435.52,429.98,940,32073.51,22370.49,41.09,205.6
138,20230104,2,8,161,8,2,6.57,90.16,50,198,193,5,2.45,76.74,365,699,134907,72270,512.81,221.73,1825,74829.55,60077.45,44.53,387.72
139,20230104,2,10,53,6,2,7.24,79.29,37,187,183,4,2,70.98,215,399,73017,40205,542.02,404.39,860,42011.41,31005.59,42.46,229.57
140,20230104,3,15,20,12,1,7.29,89.31,51,165,162,3,1.86,77.46,890,1499,242838,146850,469.27,245.39,2670,150234.66,92603.34,38.13,927.37
141,20230104,3,13,20,12,3,7.2,87.76,26,109,105,4,3.34,79.45,890,1499,157395,97010,237.57,242.36,3560,101049.93,56345.07,35.8,962.38
142,20230104,3,12,75,9,2,7.78,91.92,29,131,129,2,1.86,84.89,240,449,57921,31440,248.29,216.62,480,32384.92,25536.08,44.09,251.05
143,20230104,3,15,149,10,3,6.55,74.79,45,147,142,5,3.31,63.97,510,899,127658,74970,386.23,315.98,2550,78222.21,49435.79,38.73,550.86
144,20230104,3,13,166,10,2,6.64,93.75,53,100,98,2,2.45,79.65,510,899,88102,51000,486.86,346.35,1020,52853.21,35248.79,40.01,539.32
145,20230104,3,15,29,9,1,7.54,96.45,7,184,182,2,1.34,93.93,240,449,81718,44160,92.68,429.02,480,45161.7,36556.3,44.73,248.14
146,20230104,3,14,75,9,1,7.06,84.33,38,81,79,2,1.96,74.87,240,449,35471,19440,350.77,196.58,480,20467.35,15003.65,42.3,259.08
147,20230104,4,18,27,14,1,7.41,88.12,48,65,64,1,1.09,77.4,1880,3399,217536,122200,593.59,272.89,1880,124946.48,92589.52,42.56,1952.29
148,20230104,4,18,99,14,3,7.19,77.46,21,61,59,2,2.78,71.27,1880,3399,200541,114680,228.65,270.81,3760,118939.46,81601.54,40.69,2015.92
149,20230104,4,19,196,13,2,7.32,79.85,27,129,126,3,2.22,73.2,1350,2499,314874,174150,368.49,361.39,4050,178929.88,135944.12,43.17,1420.08
150,20230104,4,20,108,13,2,7.19,83.36,29,70,68,2,2.56,75.53,1350,2499,169932,94500,353.97,197.23,2700,97751.2,72180.8,42.48,1437.52
151,20230104,4,18,157,15,1,7.36,91.2,49,65,64,1,1.04,79.83,2450,4399,281536,159250,695.16,358.96,2450,162754.12,118781.88,42.19,2543.03
152,20230104,5,23,8,16,2,7.35,89.25,52,129,126,3,2.01,76.9,620,1199,151074,79980,524.71,419.17,1860,82783.88,68290.12,45.2,657.01
153,20230104,5,24,89,16,3,7.66,77.11,56,162,157,5,2.87,65.62,620,1199,188243,100440,685.31,457.55,3100,104682.85,83560.15,44.39,666.77
154,20230104,5,22,83,17,3,7.52,84.18,47,117,113,4,3.56,72.83,48,99,11187,5616,552.57,198.5,192,6559.07,4627.93,41.37,58.04
155,20230104,5,21,19,18,1,6.96,89.05,42,115,113,2,1.91,78.7,4,15,1695,460,430.08,334.89,8,1232.97,462.03,27.26,10.91
156,20230104,5,21,89,16,1,6.99,88.65,17,118,116,2,1.7,83.62,620,1199,139084,73160,156.94,417.52,1240,74974.46,64109.54,46.09,646.33
157,20230104,5,23,200,17,3,7.25,77.72,15,116,113,3,3.01,73.1,48,99,11187,5568,184.8,359.29,144,6256.1,4930.9,44.08,55.36
158,20230104,6,27,36,20,2,7.2,79.88,53,99,97,2,1.74,68.66,26,59,5723,2574,610.49,375.47,52,3611.96,2111.04,36.89,37.24
159,20230104,6,28,142,19,3,7.05,85.19,5,65,63,2,3.1,81.59,18,39,2457,1170,62.19,314.12,36,1582.32,874.68,35.6,25.12
160,20230104,6,28,80,20,1,7.51,92.76,42,77,76,1,1.34,83.02,26,59,4484,2002,349.57,334.35,26,2711.93,1772.07,39.52,35.68
161,20230104,6,27,36,19,3,7.51,80.59,44,102,99,3,2.48,70.58,18,39,3861,1836,512.73,391.64,54,2794.36,1066.64,27.63,28.23
162,20230104,7,30,141,21,2,6.59,91.37,49,58,57,1,2.05,78.67,15,35,1995,870,595.2,148.27,15,1628.47,366.53,18.37,28.57
163,20230104,7,29,18,21,2,6.57,79.29,36,50,49,1,1.5,70.61,15,35,1715,750,411.07,235.61,15,1411.68,303.32,17.69,28.81
164,20230104,7,30,88,21,1,7.18,92.73,52,62,61,1,1.4,80.22,15,35,2135,930,701.85,419.35,15,2066.2,68.8,3.22,33.87
165,20230104,7,32,126,21,3,7.61,76.03,31,50,49,1,2.99,69.45,15,35,1715,750,268.46,421.69,15,1455.15,259.85,15.15,29.7
166,20230104,8,36,77,22,3,6.55,79.14,33,50,48,2,3.46,69.59,34,79,3792,1700,349.73,290.58,68,2408.32,1383.68,36.49,50.17
167,20230104,8,35,51,22,1,7.97,87.88,46,50,49,1,1.45,77.84,34,79,3871,1700,505.21,394.48,34,2633.7,1237.3,31.96,53.75
168,20230105,1,2,30,1,2,7.92,91.38,10,328,322,6,1.87,87.82,82,149,47978,26896,111,211.22,492,27710.22,20267.78,42.24,86.06
169,20230105,1,6,165,1,3,7.96,74.53,26,336,325,11,3.27,68.17,82,149,48425,27552,258.25,327.78,902,29040.03,19384.97,40.03,89.35
170,20230105,1,5,71,3,1,6.6,94.24,18,213,211,2,1.05,89.11,132,249,52539,28116,247.01,349.11,264,28976.11,23562.89,44.85,137.33
171,20230105,1,3,195,4,1,6.72,96.41,5,230,225,5,1.98,93.14,176,329,74025,40480,44.95,311.99,880,41716.94,32308.06,43.64,185.41
172,20230105,1,2,145,1,1,6.88,84.79,47,269,265,4,1.55,74.02,82,149,39485,22058,677.99,361.37,328,23425.36,16059.64,40.67,88.4
173,20230105,1,1,102,3,1,7.68,85.81,25,309,306,3,1.03,80.37,132,249,76194,40788,241.7,170.15,396,41595.85,34598.15,45.41,135.93
